Hora,T1,T2,T3,Pressao,Empuxo,Falhas
14:16:44,2575,2650,3250,150,102,28
14:16:45,2600,2575,3250,0,42,28
14:16:45,2625,2650,3250,150,27,28
14:16:45,2625,2675,3200,0,35,28
14:16:45,2625,2650,3250,169,101,28
14:16:45,2625,2650,3250,0,62,28
14:16:46,2575,2650,3225,130,30,28
14:16:46,2600,2625,3225,0,21,28
14:16:46,2600,2600,3250,0,15,28
14:16:47,2600,2625,3275,0,10,28
14:16:47,2600,2625,3225,0,6,28
14:16:47,2575,2650,3200,0,3,28
14:16:47,2600,2675,3250,0,0,30
14:16:48,2600,2600,3275,110,-1,30
14:16:48,2575,2650,3250,0,-2,30
14:16:48,2600,2600,3200,0,-3,30
14:16:49,2575,2675,3250,0,-3,30
14:16:49,2625,2650,3200,0,-4,30
14:16:49,2650,2675,3225,169,-4,30
14:16:49,2600,2650,3200,0,-4,30
14:16:50,2575,2575,3275,0,-5,30
14:16:50,2600,2675,3275,0,-4,30
14:16:50,2650,2600,3225,0,-5,30
14:16:51,2625,2650,3275,0,-5,30
14:16:51,2600,2650,3275,130,-5,30
14:16:51,2575,2650,3250,0,-5,30
14:16:51,2600,2600,3275,130,-6,30
14:16:52,2625,2625,3250,0,-6,30
14:16:52,2625,2650,3200,0,-6,31
14:16:52,2650,2650,3225,0,-6,31
14:16:53,2650,2675,3250,90,-6,31
14:16:53,2600,2575,3250,0,-6,32
14:16:53,2600,2625,3275,0,-6,32
14:16:53,2600,2600,3200,0,-7,33
14:16:54,2625,2650,3225,0,-6,33
14:16:54,2625,2675,3250,0,-6,33
14:16:54,2650,2675,3225,0,-7,33
14:16:54,2600,2625,3175,27,-6,33
14:16:55,2600,2650,3250,0,-6,33
14:16:55,2650,2675,3250,0,-7,33
14:16:55,2600,2650,3250,48,-6,33
14:16:56,2650,2650,3225,130,-7,33
14:16:56,2625,2625,3250,0,-6,33
14:16:56,2625,2600,3225,110,-6,33
14:16:57,2625,2675,3250,0,-7,33
14:16:57,2600,2600,3250,0,-7,33
14:16:57,2650,2600,3250,110,-7,33
14:16:57,2650,2650,3200,0,-7,33
14:16:58,2625,2675,3250,0,-7,33
14:16:58,2650,2650,3250,0,-7,33
14:16:58,2625,2650,3275,0,-7,33
14:16:58,2625,2650,3250,0,-6,33
14:16:59,2625,2550,3275,0,-6,33
14:16:59,2625,2625,3250,0,-7,33
14:16:59,2625,2650,3250,110,-6,33
14:17:00,2650,2675,3200,69,-7,33
14:17:00,2625,2625,3275,48,-7,33
14:17:00,2650,2650,3250,0,-7,33
14:17:00,2650,2675,3250,0,-7,33
14:17:01,2625,2675,3275,0,-7,33
14:17:01,2575,2650,3250,0,-7,33
14:17:01,2575,2675,3250,69,-6,33
14:17:02,2650,2650,3275,0,-7,33
14:17:02,2675,2650,3250,169,-7,33
14:17:02,2650,2650,3225,27,-7,34
14:17:02,2650,2600,3250,110,-7,34
14:17:02,2625,2625,3200,169,-7,34
14:17:03,2600,2650,3250,0,-7,34
14:17:03,2650,2650,3275,0,-6,34
14:17:03,2625,2650,3225,48,-6,34
14:17:04,2650,2625,3250,150,-7,34
14:17:04,2650,2625,3250,69,-7,34
14:17:04,2650,2675,3200,0,-7,34
14:17:04,2675,2650,3250,0,-7,34
14:17:05,2600,2675,3250,0,-6,34
14:17:05,2675,2675,3225,130,-7,34
14:17:05,2650,2575,3225,0,-7,34
14:17:06,2650,2625,3275,0,-7,34
14:17:06,2650,2650,3250,48,-7,34
14:17:06,2625,2625,3225,69,-7,35
14:17:06,2675,2650,3250,0,-7,35
14:17:07,2650,2650,3275,48,-7,35
14:17:07,2650,2550,3225,27,-6,35
14:17:07,2650,2625,3275,48,-7,36
14:17:08,2675,2650,3275,110,-7,36
14:17:08,2600,2625,3200,0,-7,36
14:17:08,2675,2625,3250,0,-7,36
14:17:08,2650,2625,3275,130,-7,36
14:17:09,2625,2650,3200,0,-7,36
14:17:09,2675,2650,3250,0,-7,36
14:17:09,2650,2625,3225,0,-7,37
14:17:10,2675,2650,3200,130,-7,37
14:17:10,2650,2650,3250,0,-7,37
14:17:10,2650,2650,3250,0,-7,37
14:17:10,2675,2650,3275,130,-7,37
14:17:11,2675,2625,3225,0,-7,37
14:17:11,2625,2650,3250,150,-7,37
14:17:11,2675,2650,3225,0,-7,37
14:17:12,2625,2650,3250,0,-7,37
14:17:12,2650,2650,3200,0,-7,38
14:17:12,2625,2625,3225,5,-7,39
14:17:12,2675,2650,3225,188,-7,39
